Full_Address,Longitude,Latitude,Zip,REC_TYPE,PIN,OVACLS,CLASS_DESCRIPTION,CURRENT_LAND,CURRENT_BUILDING,CURRENT_TOTAL,ESTIMATED_MARKET_VALUE,PRIOR_LAND,PRIOR_BUILDING,PRIOR_TOTAL,PPRIOR_LAND,PPRIOR_BUILDING,PPRIOR_TOTAL,PPRIOR_YEAR,TOWN,VOLUME,LOC,TAX_CODE,NEIGHBORHOOD,HOUSENO,DIR,STREET,SUFFIX,APT,CITY,RES_TYPE,BLDG_USE,APT_DESC,COMM_UNITS,EXT_DESC,FULL_BATH,HALF_BATH,BSMT_DESC,ATTIC_DESC,AC,FIREPLACE,GAR_DESC,AGE,BUILDING_SQ_FT,LAND_SQ_FT,BLDG_SF,UNITS_TOT,MULTI_SALE,DEED_TYPE,SALE_DATE,SALE_AMOUNT,APPCNT,APPEAL_A,APPEAL_A_STATUS,APPEAL_A_RESULT,APPEAL_A_REASON,APPEAL_A_PIN_RESULT,APPEAL_A_PROPAV,APPEAL_A_CURRAV,APPEAL_A_RESLTDATE
"1824 S BISHOP ST, CHICAGO, IL",-87.6629725,41.8568948,60608,A-HD,17203100340000,318,"Mixed use commercial/residential with apts. above seven units or more or building sq. ft. over 20,000                         ",16285,161616,177901,1779010,16285,170113,186398,16285,188060,204345,2013,77,598,CITY,77001,141,1824,S,BISHOP ,ST, ,CHICAGO,             ,,        , ,        ,0,0, , ,0,0, ,117,0,19740,0,0,1,1,8/1/2002,726020,1,101395,Appeal Review Complete       ,Assessed Value Not Adjusted,22,Assessed Value Not Adjusted,194583,194583,10/19/2015
"1439 W 16TH ST, CHICAGO, IL",-87.6629253,41.8594795,60608,A-HD,17203010060000,211,"Two to Six Apartments, Over 62 Years                                                         ",6100,29307,35407,354070,5356,23016,28372,5356,23016,28372,2013,77,598,CITY,77001,141,1439,W,16TH ,ST, ,CHICAGO,Two Story        ,Multi Family  ,0,0,Frame     ,1,0,Slab and Unfinished,None,2,0, ,132,1200,2976,     ,        ,0,1,6/20/1990,52000,0,0,                  ,,0,,0,0,     
"1919 S BLUE ISLAND AVE, CHICAGO, IL",-87.6628813,41.8554243,60608,A-HD,17203210310000,212,"Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ",12300,42704,55004,550040,10800,34941,45741,10800,34941,45741,2013,77,598,CITY,77001,141,1919,S,BLUE ISLAND ,AVE, ,CHICAGO,Three Story       ,Multi Family  ,6,2,Masonry    ,4,2,Full and Unfinished,None,1,0, ,101,15000,6000,     ,        ,0,2,2/1/2014,240000,0,0,                  ,,0,,0,0,     
"1868 S BLUE ISLAND AVE, CHICAGO, IL",-87.6628592,41.8562812,60608,A-HD,17203110080000,318,"Mixed use commercial/residential with apts. above seven units or more or building sq. ft. over 20,000                         ",2687,45417,48104,481040,2687,45417,48104,2687,45417,48104,2013,77,598,CITY,77001,141,1868,S,BLUE ISLAND ,AVE, ,CHICAGO,             ,,        , ,        ,0,0, , ,0,0, ,137,0,2500,0,0,0,1,11/1/2011,174286,1,110810,Appeal Review Complete       ,Assessed Value Not Adjusted,18,Assessed Value Not Adjusted,48104,48104,10/19/2015
"1437 W 17TH ST, CHICAGO, IL",-87.6627938,41.8585838,60608,A-HD,17203030100000,211,"Two to Six Apartments, Over 62 Years                                                         ",6355,41797,48152,481520,5580,34884,40464,5580,34884,40464,2013,77,598,CITY,77001,141,1437,W,17TH ,ST,HSE ,CHICAGO,Two Story        ,Multi Family  ,3,0,Frame/Masonry ,3,0,Craw and Formal Rec. Room, ,2,0, ,132,2677,3100,     ,        ,0,1,8/1/2007,535000,0,0,                  ,,0,,0,0,     
"1915 S BLUE ISLAND AVE, CHICAGO, IL",-87.6627291,41.8555118,60608,A-HD,17203210060000,318,"Mixed use commercial/residential with apts. above seven units or more or building sq. ft. over 20,000                         ",6450,76854,83304,833040,6450,76854,83304,6450,76854,83304,2013,77,598,CITY,77001,141,1915,S,BLUE ISLAND ,AVE, ,CHICAGO,             ,,        , ,        ,0,0, , ,0,0, ,126,0,6000,0,0,0,0,     ,0,0,0,                  ,,0,,0,0,     
"1856 S BLUE ISLAND AVE, CHICAGO, IL",-87.6626583,41.8565066,60608,A-HD,17203110130000,212,"Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ",5125,31064,36189,361890,4500,12238,16738,4500,22250,26750,2013,77,598,CITY,77001,141,1856,S,BLUE ISLAND ,AVE, ,CHICAGO,Three Story       ,Multi Family  ,5,1,Masonry    ,5,0,Full and Unfinished,None,2,0, ,137,8000,2500,     ,        ,0,0,     ,0,1,105107,Appeal Review Complete       ,Assessed Value Adjusted,38,Assessed Value Adjusted,40027,36189,10/19/2015
"1435 W CULLERTON ST, CHICAGO, IL",-87.6626372,41.8549411,60608,A-HD,17203220110000,211,"Two to Six Apartments, Over 62 Years                                                         ",6355,29479,35834,358340,5580,27562,33142,5580,27562,33142,2013,77,598,CITY,77001,141,1435,W,CULLERTON ,ST,1,CHICAGO,Two Story        ,Multi Family  ,3,0,Masonry    ,3,0,Full and Apartment, ,2,0, ,147,2763,3100,     ,        ,0,0,     ,0,1,95713,Appeal Review Complete       ,Assessed Value Adjusted,1,Assessed Value Adjusted,38656,35834,10/19/2015
"1854 S BLUE ISLAND AVE, CHICAGO, IL",-87.6626232,41.8565694,60608,A-HD,17203110140000,212,"Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ",5125,30178,35303,353030,4500,10235,14735,4500,22250,26750,2013,77,598,CITY,77001,141,1854,S,BLUE ISLAND ,AVE, ,CHICAGO,Three Story       ,Multi Family  ,5,1,Masonry    ,5,2,Full and Unfinished,None,2,0, ,137,7772,2500,     ,        ,0,2,7/1/2013,267500,1,105112,Appeal Review Complete       ,Assessed Value Adjusted,38,Assessed Value Adjusted,36390,35303,10/19/2015
"1852 S BLUE ISLAND AVE, CHICAGO, IL",-87.6625922,41.8566352,60608,A-HD,17203110150000,318,"Mixed use commercial/residential with apts. above seven units or more or building sq. ft. over 20,000                         ",2687,53676,56363,563630,2687,53676,56363,2687,53676,56363,2013,77,598,CITY,77001,141,1852,S,BLUE ISLAND ,AVE, ,CHICAGO,             ,,        , ,        ,0,0, , ,0,0, ,137,0,2500,0,0,0,0,     ,0,0,0,                  ,,0,,0,0,     
"1427 W 17TH ST, CHICAGO, IL",-87.6624386,41.8585824,60608,A-HD,17203030140000,211,"Two to Six Apartments, Over 62 Years                                                         ",5846,32537,38383,383830,5133,22844,27977,5133,22844,27977,2013,77,598,CITY,77001,141,1427,W,17TH ,ST, ,CHICAGO,Three Story       ,Multi Family  ,3,0,Masonry    ,6,0,Full and Unfinished,None,1,3, ,7,3510,2852,     ,        ,0,1,4/1/2012,425000,0,0,                  ,,0,,0,0,     
"1421 W 17TH ST, CHICAGO, IL",-87.6622682,41.8586175,60608,A-HD,17203030160000,211,"Two to Six Apartments, Over 62 Years                                                         ",5846,39496,45342,453420,5133,34878,40011,5133,34878,40011,2013,77,598,CITY,77001,141,1421,W,17TH ,ST, ,CHICAGO,Three Story       ,Multi Family  ,3,0,Masonry    ,3,0,Full and Unfinished,None,2,0, ,122,2415,2852,     ,        ,0,0,     ,0,0,0,                  ,,0,,0,0,     
"1834 S BLUE ISLAND AVE, CHICAGO, IL",-87.6622098,41.8570242,60608,A-HD,17203110220000,212,"Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ",5125,31932,37057,370570,4500,18807,23307,4500,18807,23307,2013,77,598,CITY,77001,141,1834,S,BLUE ISLAND ,AVE, ,CHICAGO,Three Story       ,Multi Family  ,5,1,Masonry    ,5,1,Partial and Unfinished,None,1,0, ,124,8072,2500,     ,        ,0,0,     ,0,1,105660,Appeal Review Complete       ,Assessed Value Adjusted,1,Assessed Value Adjusted,40055,37057,12/4/2015
